parameter	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_ID2	aIL10+aPD1	groupControl	-93.75000000000001	59.533820107625736	-1.5747351644916785	0.12840908879204793	0.12840908879204793	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	aIL10+aPD1	groupaIL10	-96.55999999999996	32.81112432943901	-2.9429043342280035	0.0071044772408295305	0.014208954481659061	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBnTBETp_MFI_IRF4	aIL10+aPD1	groupControl	-74.805	34.80145276755186	-2.1494792329401435	0.04188957835281119	0.04188957835281119	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupaIL10	-129.79999999999993	204.68407770675927	-0.6341480072815334	0.5319826490496379	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_BCL2	aIL10+aPD1	groupControl	149.69999999999993	217.10024902104558	0.6895431980158074	0.4970950419357033	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	aIL10+aPD1	groupaIL10	-30.580000000000002	60.46809097524475	-0.5057212739280832	0.6176658386829544	1	-1
LN_CD3p_CD8p_TCF1nCD101p_GRZBpTBETp_MFI_KI67	aIL10+aPD1	groupControl	39.30000000000002	64.13609576100097	0.6127594692768474	0.5457984898209685	1	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	aIL10+aPD1	groupaIL10	-130.1	50.64116320459359	-2.569056312438708	0.016839550341705187	0.03367910068341037	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_ID2	aIL10+aPD1	groupControl	-95.92500000000004	53.71306486371421	-1.785878356474163	0.0867618181121526	0.0867618181121526	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	aIL10+aPD1	groupaIL10	-80.32000000000001	30.992372525540926	-2.5916054001289512	0.016005088079976332	0.032010176159952664	-1
LN_CD3p_CD8p_TCF1nCD101p_MFI_IRF4	aIL10+aPD1	groupControl	-76.59000000000002	32.87237516680446	-2.3299198677113835	0.02854719868027874	0.032010176159952664	-1
LN_CD3p_CD8p_TCF1p	aIL10+aPD1	groupaIL10	-0.8800000000000038	2.361347665554364	-0.37266854552457856	0.7126660757264431	1	-1
LN_CD3p_CD8p_TCF1p	aIL10+aPD1	groupControl	-0.1825000000000015	2.5045874205787717	-0.07286629266780736	0.9425163961757705	1	-1
LN_CD3p_CD8p_TCF1pCD101n	aIL10+aPD1	groupaIL10	-1.9000000000000086	2.95085837995852	-0.6438804426889225	0.5257589198897086	1	-1
LN_CD3p_CD8p_TCF1pCD101n	aIL10+aPD1	groupControl	-0.5275000000000036	3.1298579561847295	-0.16853799992988233	0.8675723767194177	1	-1
LN_CD3p_CD8p_TCFn	aIL10+aPD1	groupaIL10	1.0609999999999988	2.5895444401936984	0.40972457685284436	0.6856420997087805	1	-1
LN_CD3p_CD8p_TCFn	aIL10+aPD1	groupControl	0.39474999999999993	2.74662665076733	0.14372175406137486	0.886920160151476	1	-1
LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	aIL10+aPD1	groupaIL10	13.199999999999958	64.2721853489035	0.2053765548556247	0.8390099525775236	0.8390099525775236	-1
LN_CD3p_CD8p_TCFn_TBEThi_CX3CR1pGRZBp_MFI_ID2	aIL10+aPD1	groupControl	-57.40000000000004	68.17094715283251	-0.8420009167734597	0.4080998121147872	0.8161996242295744	-1
LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	aIL10+aPD1	groupaIL10	-0.03156741783990423	0.09523089630135351	-0.3314829437287945	0.7431568963904336	1	-1
LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	aIL10+aPD1	groupControl	-0.06356409783990881	0.10100761882973996	-0.6293000327733045	0.5350975984388631	1	-1
LN_CD3p_CD8p_TCM_GRZBp_GAG	aIL10+aPD1	groupaIL10	0.23499999999999954	1.0578550934837547	0.22214762820311398	0.8260784996524493	1	-1
LN_CD3p_CD8p_TCM_GRZBp_GAG	aIL10+aPD1	groupControl	0.5195000000000004	1.1220247651726383	0.46300225817214335	0.6475337222624844	1	-1
LN_CD3p_CD8p_TCM_GRZBp_UNS	aIL10+aPD1	groupaIL10	-0.14200000000000013	0.9631481166689041	-0.14743319074444564	0.8840216977011993	1	-1
LN_CD3p_CD8p_TCM_GRZBp_UNS	aIL10+aPD1	groupControl	-0.4582499999999996	1.0215728468754512	-0.4485730032876146	0.6577635965320148	1	-1
LN_CD3p_CD8p_TCM_IFNGp_GAG	aIL10+aPD1	groupaIL10	-1.6609999999999991	0.7626916328279169	-2.177813323900413	0.03947738195107007	0.11843214585321021	-1
LN_CD3p_CD8p_TCM_IFNGp_GAG	aIL10+aPD1	groupControl	-1.2852499999999996	0.8089566382902907	-1.5887748973991271	0.12519950013263217	0.12519950013263217	-1
LN_CD3p_CD8p_TCM_KI67p_UNS	aIL10+aPD1	groupaIL10	0.8989999999999987	1.2036622007242652	0.7468872906859202	0.46238642921451223	1	-1
