var1	var2	cor	statistic	p	method	p.adj
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_notToxpIRF4p_MFI_CD101	-0.63	5354.31722769439	3.8e-4	Spearman	0.00543303333333333
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_CD69p_GAG_UNS	-0.63	5344	5.49e-4	Spearman	0.00638975
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_Naive_TNFAp_GAG_UNS	-0.63	4246.16875897083	6.81e-4	Spearman	0.00731254761904761
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TNFAp_GAG_UNS	-0.63	5326	6.31e-4	Spearman	0.00695760526315789
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCM_notToxpIRF4p_MFI_CD101	-0.61	5275.61047489589	7.22e-4	Spearman	0.00731254761904761
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_TCF1p	-0.59	5203.29417601881	0.00125	Spearman	0.0106426
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCM_TOXpIRF4p_MFI_CD101	-0.58	5173.28959621571	0.00155	Spearman	0.0118081818181818
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCF1p_GRZBp_MFI_GRZB	-0.57	5145.99999999999	0.00223	Spearman	0.0158367796610169
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1p	-0.57	5137.99999999999	0.00235	Spearman	0.0161418032786885
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TNFAp_GAG_UNS	-0.56	5094.27753606756	0.00266	Spearman	0.0170028985507246
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IFNGp_GAG_UNS	-0.56	5124	0.00257	Spearman	0.01682546875
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_Naive_notToxpIRF4p_MFI_CD101	-0.55	5082.27570414632	0.00287	Spearman	0.017179
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_IRF4pTCF1pTOXn	-0.52	4970	0.00638	Spearman	0.0278460416666666
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1pCD101n	-0.51	4962.51488778112	0.006	Spearman	0.0272575268817204
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCM_IFNGp_GAG	-0.5	4911.24959926868	0.00803	Spearman	0.0326657281553398
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG	-0.49	4884	0.0101	Spearman	0.0381252252252252
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_TCF1p	-0.49	4890.24639340651	0.00902	Spearman	0.034358
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_IFNGp_GAG_UNS	-0.49	4870	0.0109	Spearman	0.040416814159292
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	-0.48	4838.23845508115	0.0119	Spearman	0.0426101694915254
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_KI67p_GAG_UNS	-0.48	4862	0.0113	Spearman	0.041171304347826
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_notToxpIRF4p_MFI_TCF1	-0.46	4791.2312800563	0.0151	Spearman	0.0490457364341085
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG	-0.46	4792.2314327164	0.0151	Spearman	0.0490457364341085
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	-0.46	4794	0.0158	Spearman	0.0509246153846153
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TCM_IFNGp_GAG_UNS	-0.45	4736	0.0208	Spearman	0.0613746478873239
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TEM_CX3CR1p_GAG_UNS	-0.45	4762	0.0184	Spearman	0.0565802919708029
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_Naive_TNFAp_GAG	-0.44	4732.67034201088	0.0201	Spearman	0.0601564285714285
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_IFNGp_GAG_UNS	-0.43	4669.21265552371	0.027	Spearman	0.0720573248407643
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_CX3CR1p_GAG_UNS	-0.43	4672	0.0276	Spearman	0.0722775
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCM_CX3CR1p_GAG_UNS	-0.43	4672	0.0276	Spearman	0.0722775
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_CD39p_GAG_UNS	-0.43	4673.99999999999	0.0274	Spearman	0.0722775
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_MFI_TCF1_UNS	-0.42	4649.99999999999	0.0304	Spearman	0.0766100591715976
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TBETp_GAG_UNS	-0.42	4645.99999999999	0.0309	Spearman	0.0766100591715976
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_IL2p_GAG_UNS	-0.39	4558	0.0444	Spearman	0.09689375
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_notToxpIRF4p_MFI_CD101	-0.39	4568.39456406477	0.0417	Spearman	0.0924460317460317
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_MFI_BCL2	0.39	2002	0.0459	Spearman	0.0991345360824742
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCF1pCD101p_GRZBnTBETn_MFI_BCL2	0.39	1988.60696288593	0.0426	Spearman	0.0934523560209424
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCM_CD69p_UNS	0.39	2002	0.0459	Spearman	0.0991345360824742
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TEM_IRF4nTCF1nTOXp	0.4	1965.59993891264	0.0387	Spearman	0.0886081967213114
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_notToxpIRF4p_MFI_TBET	0.4	1977.80184718608	0.0407	Spearman	0.0916422459893048
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_CD25p	0.41	1936	0.0351	Spearman	0.0830898305084745
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_Naive_KI67p_UNS	0.43	1881.78719181617	0.0269	Spearman	0.0720573248407643
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXn	0.44	1840	0.0232	Spearman	0.0652402684563758
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_IRF4nTCF1nTOXn	0.45	1793.54741180804	0.0178	Spearman	0.0555562962962962
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXn	0.47	1748	0.0151	Spearman	0.0490457364341085
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_CD39p_UNS	0.48	1698	0.0118	Spearman	0.0426101694915254
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_TCF1n	0.49	1661.75360659348	0.00902	Spearman	0.034358
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_CD39p_GAG	0.49	1660.75345393337	0.00897	Spearman	0.034358
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCM_TOXpIRF4p_MFI_TBET	0.53	1530	0.00476	Spearman	0.0237433333333333
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1nCD101n	0.55	1483.72643309511	0.00314	Spearman	0.0176732051282051
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCFn	0.56	1456	0.00306	Spearman	0.0175635616438356
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM	0.57	1409.57513922221	0.00192	Spearman	0.0138703448275862
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_TCF1n	0.57	1414	0.00235	Spearman	0.0161418032786885
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_TEM_TCF1n	0.59	1348.70582398118	0.00125	Spearman	0.0106426
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_IRF4nTCF1nTOXp	0.59	1330	0.00134	Spearman	0.0107077777777777
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD4p_TCM_TOXpIRF4p_MFI_TBET	0.59	1346.70551866098	0.00123	Spearman	0.0106426
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_Naive_IRF4nTCF1nTOXp	0.62	1239.68918402994	5.39e-4	Spearman	0.00638975
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_PBMC_CD3p_CD8p_TCM_notToxpIRF4p_MFI_TBET	0.65	1135.34646509394	2.19e-4	Spearman	0.00352926923076923
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD4p_KI67p	0.73	894	2.89e-5	Spearman	9.3146923076923e-4
wk36_LOG_SIVRNA_LN_per10^6correctedCD4Live	wk36_LN_CD3p_CD8p_KI67p	0.76	790	8.54e-6	Spearman	5.1118e-4
