group	animal	WkPost-TX	VL
aIL-10+aPD-1	RYm17	-53	65
aIL-10+aPD-1	RYm17	-49	25
aIL-10+aPD-1	RYm17	-45	65
aIL-10+aPD-1	RYm17	-41	25
aIL-10+aPD-1	RYm17	-37	15
aIL-10+aPD-1	RYm17	-33	15
aIL-10+aPD-1	RYm17	-29	15
aIL-10+aPD-1	RYm17	-26	15
aIL-10+aPD-1	RYm17	-22	15
aIL-10+aPD-1	RYm17	-18	15
aIL-10+aPD-1	RYm17	-14	15
aIL-10+aPD-1	RYm17	-4	15
aIL-10+aPD-1	RYm17	-1	15
aIL-10+aPD-1	RYm17	1	15
aIL-10+aPD-1	RYm17	5	15
aIL-10+aPD-1	RYm17	7	15
aIL-10+aPD-1	RYm17	9	15
aIL-10+aPD-1	RYm17	12	15
aIL-10+aPD-1	RYm17	13	15
aIL-10+aPD-1	RYm17	14	11000
aIL-10+aPD-1	RYm17	15	17000
aIL-10+aPD-1	RYm17	16	720
aIL-10+aPD-1	RYm17	17	65
aIL-10+aPD-1	RYm17	18	1400
aIL-10+aPD-1	RYm17	19	400
aIL-10+aPD-1	RYm17	20	65
aIL-10+aPD-1	RYm17	21	220
aIL-10+aPD-1	RYm17	22	1200
aIL-10+aPD-1	RYm17	23	1300
aIL-10+aPD-1	RYm17	24	25
aIL-10+aPD-1	RYm17	25	15
aIL-10+aPD-1	RYm17	26	65
aIL-10+aPD-1	RYm17	28	25
aIL-10+aPD-1	RYm17	30	15
aIL-10+aPD-1	RYm17	32	180
aIL-10+aPD-1	RYm17	34	40
aIL-10+aPD-1	RYm17	36	1400
Control	RBe17	-64	3274362
Control	RBe17	-63	11289488
Control	RBe17	-61	2499467
Control	RBe17	-59	691844
Control	RBe17	-57	939
Control	RBe17	-53	430
Control	RBe17	-49	40
Control	RBe17	-45	25
Control	RBe17	-41	15
Control	RBe17	-37	25
Control	RBe17	-33	15
Control	RBe17	-29	25
Control	RBe17	-26	25
Control	RBe17	-22	15
Control	RBe17	-18	15
Control	RBe17	-14	15
Control	RBe17	-4	15
Control	RBe17	-1	15
Control	RBe17	1	15
Control	RBe17	5	15
Control	RBe17	7	15
Control	RBe17	9	15
Control	RBe17	12	15
Control	RBe17	13	25
Control	RBe17	14	360000
Control	RBe17	15	52000
Control	RBe17	16	18000
Control	RBe17	17	7700
Control	RBe17	18	33000
Control	RBe17	19	21000
Control	RBe17	20	31000
Control	RBe17	21	120000
Control	RBe17	22	130000
Control	RBe17	23	150000
Control	RBe17	24	180000
Control	RBe17	25	190000
Control	RBe17	26	410000
Control	RBe17	28	570000
Control	RBe17	30	300000
Control	RBe17	32	580000
Control	RBe17	34	1800000
Control	RBe17	36	2400000
Control	REq17	-64	1683145
Control	REq17	-63	29200000
Control	REq17	-61	845822
Control	REq17	-59	279452
Control	REq17	-57	380
Control	REq17	-53	320
Control	REq17	-49	290
Control	REq17	-46	40
Control	REq17	-42	15
Control	REq17	-38	15
Control	REq17	-34	25
Control	REq17	-30	15
Control	REq17	-26	220
Control	REq17	-22	25
Control	REq17	-18	15
Control	REq17	-14	65
Control	REq17	-1	15
Control	REq17	1	25
Control	REq17	5	15
Control	REq17	7	15
Control	REq17	9	15
Control	REq17	12	15
Control	REq17	13	3700
Control	REq17	14	3000000
Control	REq17	15	45000
Control	REq17	16	12000
Control	REq17	17	7600
Control	REq17	18	6300
Control	REq17	19	4800
Control	REq17	20	3000
Control	REq17	21	7900
Control	REq17	22	5400
Control	REq17	23	4700
Control	REq17	24	6400
Control	REq17	25	3800
Control	REq17	26	3000
Control	REq17	28	3700
Control	REq17	30	6300
Control	REq17	32	3400
Control	REq17	34	3000
Control	REq17	36	9700
Control	REu17	-64	1398434
Control	REu17	-63	16985723
Control	REu17	-61	432425
Control	REu17	-59	231579
Control	REu17	-57	362
Control	REu17	-53	250
Control	REu17	-49	25
Control	REu17	-46	25
Control	REu17	-42	25
Control	REu17	-38	15
Control	REu17	-34	15
Control	REu17	-30	15
Control	REu17	-26	25
Control	REu17	-22	15
Control	REu17	-18	15
Control	REu17	-14	15
Control	REu17	-1	15
Control	REu17	1	15
Control	REu17	5	15
Control	REu17	7	15
Control	REu17	9	15
Control	REu17	12	15
Control	REu17	13	15
Control	REu17	14	390000
Control	REu17	15	390000
Control	REu17	16	170000
Control	REu17	17	90000
Control	REu17	18	61000
Control	REu17	19	41000
Control	REu17	20	27000
Control	REu17	21	62000
Control	REu17	22	64000
Control	REu17	23	90000
Control	REu17	24	82000
Control	REu17	25	96000
Control	REu17	26	170000
Control	REu17	28	390000
Control	REu17	30	470000
Control	REu17	32	550000
Control	REu17	34	630000
Control	REu17	36	1100000
Control	RMl17	-64	1995198
Control	RMl17	-63	19019371
Control	RMl17	-61	3285142
Control	RMl17	-59	4672050
Control	RMl17	-57	7404
Control	RMl17	-53	1400
Control	RMl17	-49	470
Control	RMl17	-45	250
Control	RMl17	-41	250
Control	RMl17	-37	40
Control	RMl17	-33	15
Control	RMl17	-29	25
Control	RMl17	-26	15
Control	RMl17	-22	15
Control	RMl17	-18	15
Control	RMl17	-14	15
Control	RMl17	-4	15
Control	RMl17	-1	15
Control	RMl17	1	15
Control	RMl17	5	15
Control	RMl17	7	15
Control	RMl17	9	15
Control	RMl17	12	15
Control	RMl17	13	65
Control	RMl17	14	3600000
Control	RMl17	15	180000
Control	RMl17	16	65000
Control	RMl17	17	100000
Control	RMl17	18	200000
Control	RMl17	19	170000
Control	RMl17	20	160000
Control	RMl17	21	130000
Control	RMl17	22	230000
Control	RMl17	23	160000
Control	RMl17	24	120000
Control	RMl17	25	110000
Control	RMl17	26	270000
Control	RMl17	28	330000
Control	RMl17	30	260000
Control	RMl17	32	570000
Control	RMl17	34	750000
Control	RMl17	36	630000
Control	RTd17	-64	931939
Control	RTd17	-63	21600000
Control	RTd17	-61	1691945
Control	RTd17	-59	1331178
Control	RTd17	-57	4777
Control	RTd17	-53	760
Control	RTd17	-49	360
Control	RTd17	-45	40
Control	RTd17	-41	180
Control	RTd17	-37	15
Control	RTd17	-33	15
Control	RTd17	-29	60
Control	RTd17	-26	15
Control	RTd17	-22	15
Control	RTd17	-18	65
Control	RTd17	-14	15
Control	RTd17	-4	15
Control	RTd17	-1	15
Control	RTd17	1	15
Control	RTd17	5	25
Control	RTd17	7	15
Control	RTd17	9	15
Control	RTd17	12	15
Control	RTd17	13	4500
Control	RTd17	14	1000000
Control	RTd17	15	1200000
Control	RTd17	16	910000
Control	RTd17	17	1600000
Control	RTd17	18	1700000
Control	RTd17	19	1000000
Control	RTd17	20	1000000
Control	RTd17	21	1100000
Control	RTd17	22	130000
Control	RTd17	23	1600000
Control	RTd17	24	2000000
Control	RTd17	25	1600000
Control	RTd17	26	6100000
Control	RTd17	28	8300000
Control	RTd17	30	5100000
Control	RTd17	32	9700000
Control	RTd17	34	160000000
Control	RTd17	36	17000000
Control	RVi17	-64	1395946
Control	RVi17	-63	24200000
Control	RVi17	-61	20200000
Control	RVi17	-59	25000000
Control	RVi17	-57	141041
Control	RVi17	-53	5600
Control	RVi17	-49	4000
Control	RVi17	-46	6400
Control	RVi17	-42	680
Control	RVi17	-38	2200
Control	RVi17	-34	290
Control	RVi17	-30	290
Control	RVi17	-26	500
Control	RVi17	-22	540
Control	RVi17	-18	250
Control	RVi17	-14	65
Control	RVi17	-1	15
Control	RVi17	1	15
Control	RVi17	5	25
Control	RVi17	7	40
Control	RVi17	9	40
Control	RVi17	12	15
Control	RVi17	13	400
Control	RVi17	14	1500000
Control	RVi17	15	6800000
Control	RVi17	16	810000
Control	RVi17	17	390000
Control	RVi17	18	310000
Control	RVi17	19	400000
Control	RVi17	20	870000
Control	RVi17	21	930000
Control	RVi17	22	1100000
Control	RVi17	23	850000
Control	RVi17	24	970000
Control	RVi17	25	610000
Control	RVi17	26	660000
Control	RVi17	28	720000
Control	RVi17	30	660000
Control	RVi17	32	670000
Control	RVi17	34	1000000
Control	RVi17	36	950000
Control	RVz16	-64	1392619
Control	RVz16	-63	6021197
Control	RVz16	-61	489665
Control	RVz16	-59	404158
Control	RVz16	-57	616
Control	RVz16	-53	25
Control	RVz16	-49	15
Control	RVz16	-45	15
Control	RVz16	-41	40
Control	RVz16	-37	15
Control	RVz16	-33	15
Control	RVz16	-29	40
Control	RVz16	-26	15
Control	RVz16	-22	15
Control	RVz16	-18	15
Control	RVz16	-14	15
Control	RVz16	-4	15
Control	RVz16	-1	15
Control	RVz16	1	15
Control	RVz16	5	15
Control	RVz16	7	15
Control	RVz16	9	15
Control	RVz16	12	15
Control	RVz16	13	15
Control	RVz16	14	15
Control	RVz16	15	180000
Control	RVz16	16	36000
Control	RVz16	17	3700
Control	RVz16	18	1500
Control	RVz16	19	1000
Control	RVz16	20	1000
Control	RVz16	21	830
Control	RVz16	22	1400
Control	RVz16	23	65
Control	RVz16	24	65
Control	RVz16	25	25
Control	RVz16	26	40
Control	RVz16	28	25
Control	RVz16	30	40
Control	RVz16	32	15
Control	RVz16	34	40
Control	RVz16	36	25
Control	RZg17	-64	153526
Control	RZg17	-63	19239583
Control	RZg17	-61	815223
Control	RZg17	-59	205646
Control	RZg17	-57	75
Control	RZg17	-53	180
Control	RZg17	-49	15
Control	RZg17	-46	25
Control	RZg17	-42	15
Control	RZg17	-38	15
Control	RZg17	-34	15
Control	RZg17	-30	15
Control	RZg17	-26	540
Control	RZg17	-22	15
Control	RZg17	-18	15
Control	RZg17	-14	15
Control	RZg17	-1	15
Control	RZg17	1	15
Control	RZg17	5	15
Control	RZg17	7	15
Control	RZg17	9	15
Control	RZg17	12	15
Control	RZg17	13	15
Control	RZg17	14	6300
Control	RZg17	15	530000
Control	RZg17	16	12000
Control	RZg17	17	2400
Control	RZg17	18	1900
Control	RZg17	19	2200
Control	RZg17	20	3200
Control	RZg17	21	5200
Control	RZg17	22	3100
Control	RZg17	23	4600
Control	RZg17	24	3500
Control	RZg17	25	2700
Control	RZg17	26	2300
Control	RZg17	28	2300
Control	RZg17	30	1500
Control	RZg17	32	1500
Control	RZg17	34	1900
Control	RZg17	36	1100
