animal	group	A*01Status	year	WkPost-TX	WkPost-ATI	parameter	value
RVi17	Control	+	2	-1	-13	PBMC_CD3p_CD4p_KI67p_GAG_UNS	0.5253682487725041
RVi17	Control	+	2	-1	-13	PBMC_CD3p_CD4p_TCM_CD69p_GAG_UNS	0.8818565400843881
RVi17	Control	+	2	-1	-13	PBMC_CD3p_CD8p_IFNGp_GAG_UNS	0.6818181818181818
RVi17	Control	+	2	-1	-13	PBMC_CD3p_CD8p_TBETp_GAG_UNS	0.9481481481481482
RVi17	Control	+	2	-1	-13	PBMC_CD3p_CD8p_TNFAp_GAG_UNS	0.6111111111111112
RVi17	Control	+	2	-1	-13	PBMC_CD3p_CD8p_KI67p	2.67
RVi17	Control	+	2	-1	-13	MSD_Cluster_1	0.402023750483645
RVi17	Control	+	2	-1	-13	MSD_Cluster_2	-0.270548902265603
RVi17	Control	+	2	-1	-13	MSD_Cluster_3	-0.738624776528255
RZg17	Control	-	2	-1	-13	IL10	0.276907296425324
RZg17	Control	-	2	-1	-13	IL4	0.129331362250181
RZg17	Control	-	2	-1	-13	MIP3b	53.6879556581096
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TCM_IFNGp_GAG	3.3
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TEM_MFI_TCF1_GAG	2136
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TNFAp_GAG	0.28
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TCM_GRZBp_GAG	9.55
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TCM_IFNGp_GAG	4.59
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TEM_CD39p_GAG	28
RZg17	Control	-	2	-1	-13	LN_CD3p_CD8p_TEM_CX3CR1p_GAG	64.2
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_MFI_BCL2_UNS	2148
RZg17	Control	-	2	-1	-13	LN_CD3p_CD4p_TCM_MFI_BCL2_UNS	2288
