parameters	ref.group	term	estimate	std.error	statistic	p.value	p.value.adj	WkPost.TX
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1nTOXp	aIL10+aPD1	groupControl	-0.2527499999999999	0.46654831872524966	-0.5417445307499745	0.5929889114606346	1	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1pTOXn	aIL10+aPD1	groupaIL10	2.570000000000007	3.356437001529763	0.7656929055509394	0.4513242074463142	0.47827547811967286	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1pTOXn	aIL10+aPD1	groupControl	4.297500000000001	3.5600390466107057	1.2071496811506568	0.23913773905983643	0.47827547811967286	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1pTOXp	aIL10+aPD1	groupaIL10	0.09200000000000016	1.1497811321228553	0.08001522848973823	0.9368886258043044	1	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4nTCF1pTOXp	aIL10+aPD1	groupControl	-0.6407499999999997	1.219527053106625	-0.5254085986594166	0.6041200180593773	1	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4p	aIL10+aPD1	groupaIL10	-3.4970000000000097	2.3521117873347457	-1.4867490647468649	0.1501014863706486	0.1882209472653073	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4p	aIL10+aPD1	groupControl	-4.348750000000002	2.494791292399813	-1.7431317855117296	0.09411047363265365	0.1882209472653073	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1nTOXn	aIL10+aPD1	groupaIL10	-0.20700000000000027	0.1657033170631002	-1.2492206171176055	0.22363135964391567	0.30261076625150396	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1nTOXn	aIL10+aPD1	groupControl	-0.26049999999999995	0.175754908740634	-1.4821776635805173	0.15130538312575198	0.30261076625150396	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1nTOXp	aIL10+aPD1	groupaIL10	-0.3280000000000003	0.18462000871803588	-1.7766221672156022	0.08830993195441186	0.1349600359353934	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1nTOXp	aIL10+aPD1	groupControl	-0.375	0.195819090160864	-1.915032899458067	0.0674800179676967	0.1349600359353934	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1pTOXn	aIL10+aPD1	groupaIL10	-1.2490000000000034	1.2155160647113756	-1.027547093996309	0.314408373937729	0.4506482632208101	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1pTOXn	aIL10+aPD1	groupControl	-1.6044999999999998	1.2892494779978996	-1.2445225128123836	0.22532413161040504	0.4506482632208101	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1pTOXp	aIL10+aPD1	groupaIL10	-1.7270000000000036	1.0883759936581796	-1.586767817429822	0.12565422155825462	0.159143038576571	-1
LN_singlets_lymphs_live_CD3p_CD4p_IRF4pTCF1pTOXp	aIL10+aPD1	groupControl	-2.1135	1.154397068394518	-1.8308258552140626	0.0795715192882855	0.159143038576571	-1
LN_singlets_lymphs_live_CD3p_CD4p_Naive	aIL10+aPD1	groupaIL10	-3.58	4.048471309083984	-0.8842843944496221	0.3853160204897842	0.6897687818629938	-1
LN_singlets_lymphs_live_CD3p_CD4p_Naive	aIL10+aPD1	groupControl	-4.137500000000001	4.2940522741386955	-0.9635420660615744	0.3448843909314969	0.6897687818629938	-1
LN_singlets_lymphs_live_CD3p_CD4p_Naive_IRF4n	aIL10+aPD1	groupaIL10	3.749999999999996	2.6073778677510653	1.4382265211273246	0.16328300942493226	0.2972094105264028	-1
LN_singlets_lymphs_live_CD3p_CD4p_Naive_IRF4n	aIL10+aPD1	groupControl	4.127500000000002	2.7655418571037482	1.492474246736798	0.1486047052632014	0.2972094105264028	-1
LN_singlets_lymphs_live_CD3p_CD4p_Naive_IRF4nTCF1nTOXn	aIL10+aPD1	groupaIL10	-0.19200000000000067	0.4055048110512555	-0.4734839014665402	0.6401465737204816	1	-1
